valid_start,value,lat,long,ele
1462172400,23.0,-23.7951,133.889,546.0
1462176000,22.7,-23.7951,133.889,546.0
1462179600,21.3,-23.7951,133.889,546.0
1462183200,20.3,-23.7951,133.889,546.0
1462186800,20.0,-23.7951,133.889,546.0
1462190400,19.3,-23.7951,133.889,546.0
1462194000,19.4,-23.7951,133.889,546.0
1462197600,18.6,-23.7951,133.889,546.0
1462111200,25.7,-16.8736,145.7458,2.22
1462114800,25.2,-16.8736,145.7458,2.22
1462118400,25.5,-16.8736,145.7458,2.22
1462122000,25.9,-16.8736,145.7458,2.22
1462125600,24.9,-16.8736,145.7458,2.22
1462129200,25.8,-16.8736,145.7458,2.22
1462132800,25.6,-16.8736,145.7458,2.22
1462136400,25.2,-16.8736,145.7458,2.22
1462140000,25.2,-16.8736,145.7458,2.22
1462143600,28.0,-16.8736,145.7458,2.22
1462147200,28.8,-16.8736,145.7458,2.22
1462150800,29.8,-16.8736,145.7458,2.22
1462154400,29.3,-16.8736,145.7458,2.22
1462158000,30.5,-16.8736,145.7458,2.22
1462161600,30.4,-16.8736,145.7458,2.22
1462165200,30.3,-16.8736,145.7458,2.22
1462168800,30.0,-16.8736,145.7458,2.22
1462172400,28.7,-16.8736,145.7458,2.22
1462176000,26.4,-16.8736,145.7458,2.22
1462179600,26.1,-16.8736,145.7458,2.22
1462183200,25.8,-16.8736,145.7458,2.22
1462186800,25.6,-16.8736,145.7458,2.22
1462190400,25.1,-16.8736,145.7458,2.22
1462194000,24.1,-16.8736,145.7458,2.22
1462111200,20.8,-27.4808,153.0389,8.13
1462114800,20.6,-27.4808,153.0389,8.13
1462118400,20.4,-27.4808,153.0389,8.13
1462122000,20.7,-27.4808,153.0389,8.13
1462125600,20.6,-27.4808,153.0389,8.13
1462129200,20.3,-27.4808,153.0389,8.13
1462132800,19.4,-27.4808,153.0389,8.13
1462136400,20.4,-27.4808,153.0389,8.13
1462140000,21.1,-27.4808,153.0389,8.13
1462143600,22.1,-27.4808,153.0389,8.13
1462147200,23.8,-27.4808,153.0389,8.13
1462150800,25.7,-27.4808,153.0389,8.13
1462154400,27.1,-27.4808,153.0389,8.13
1462158000,27.2,-27.4808,153.0389,8.13
1462161600,26.4,-27.4808,153.0389,8.13
1462165200,25.8,-27.4808,153.0389,8.13
1462168800,25.3,-27.4808,153.0389,8.13
1462172400,24.4,-27.4808,153.0389,8.13
1462176000,23.5,-27.4808,153.0389,8.13
1462179600,22.9,-27.4808,153.0389,8.13
1462183200,22.4,-27.4808,153.0389,8.13
1462186800,22.4,-27.4808,153.0389,8.13
1462190400,21.8,-27.4808,153.0389,8.13
1462194000,21.8,-27.4808,153.0389,8.13
1462111200,9.5,-42.8897,147.3278,50.5
1462114800,10.0,-42.8897,147.3278,50.5
1462118400,10.0,-42.8897,147.3278,50.5
1462122000,10.2,-42.8897,147.3278,50.5
1462125600,10.6,-42.8897,147.3278,50.5
1462129200,10.5,-42.8897,147.3278,50.5
1462132800,10.2,-42.8897,147.3278,50.5
1462136400,10.2,-42.8897,147.3278,50.5
1462140000,10.8,-42.8897,147.3278,50.5
1462143600,11.7,-42.8897,147.3278,50.5
1462147200,13.7,-42.8897,147.3278,50.5
1462150800,14.7,-42.8897,147.3278,50.5
1462154400,15.6,-42.8897,147.3278,50.5
1462158000,17.3,-42.8897,147.3278,50.5
1462161600,17.2,-42.8897,147.3278,50.5
1462165200,17.3,-42.8897,147.3278,50.5
1462168800,17.1,-42.8897,147.3278,50.5
1462172400,16.6,-42.8897,147.3278,50.5
1462176000,16.2,-42.8897,147.3278,50.5
1462179600,15.9,-42.8897,147.3278,50.5
1462183200,16.4,-42.8897,147.3278,50.5
1462186800,16.0,-42.8897,147.3278,50.5
1462190400,16.2,-42.8897,147.3278,50.5
1462194000,17.0,-42.8897,147.3278,50.5
1462204800,21.9,-23.4169,119.7989,524.0
1462208400,21.1,-23.4169,119.7989,524.0
1462212000,21.6,-23.4169,119.7989,524.0
1462215600,19.4,-23.4169,119.7989,524.0
1462219200,19.8,-23.4169,119.7989,524.0
1462222800,19.9,-23.4169,119.7989,524.0
1462226400,20.5,-23.4169,119.7989,524.0
1462230000,20.8,-23.4169,119.7989,524.0
1462233600,21.4,-23.4169,119.7989,524.0
1462237200,23.5,-23.4169,119.7989,524.0
1462240800,24.9,-23.4169,119.7989,524.0
1462244400,27.1,-23.4169,119.7989,524.0
1462248000,28.4,-23.4169,119.7989,524.0
1462251600,29.3,-23.4169,119.7989,524.0
1462255200,30.7,-23.4169,119.7989,524.0
1462258800,30.6,-23.4169,119.7989,524.0
1462262400,29.8,-23.4169,119.7989,524.0
1462266000,28.9,-23.4169,119.7989,524.0
1462269600,27.7,-23.4169,119.7989,524.0
1462273200,26.7,-23.4169,119.7989,524.0
1462276800,25.5,-23.4169,119.7989,524.0
1462280400,25.0,-23.4169,119.7989,524.0
1462284000,24.3,-23.4169,119.7989,524.0
1462287600,23.6,-23.4169,119.7989,524.0
1462204800,13.0,-31.9192,115.8728,24.9
1462208400,12.3,-31.9192,115.8728,24.9
1462212000,13.4,-31.9192,115.8728,24.9
1462215600,14.1,-31.9192,115.8728,24.9
1462219200,13.0,-31.9192,115.8728,24.9
1462222800,11.2,-31.9192,115.8728,24.9
1462226400,10.2,-31.9192,115.8728,24.9
1462230000,9.8,-31.9192,115.8728,24.9
1462233600,12.9,-31.9192,115.8728,24.9
1462237200,15.8,-31.9192,115.8728,24.9
